# offset offset_z sigma_0 sigma_z logc Blambda corr_len A_0 A_1 A_2 A_3 A_4 A_5 A_6 A_7 A_8 A_9 A_10 A_inf
1.234210390871477714e-01 -2.148700700808181541e-01 1.745391173614861402e-01 1.627350682111500246e-01 -5.504522946964907071e-02 4.956419752265137646e-01 8.417077105574424789e-02 1.145592793275948651e+00 -3.883408338068159438e-01 1.915390943314982941e+00 1.074336409456176256e+00 -3.858707085996382347e-01 2.158060386802675978e-01 3.167776005275273477e+00 1.760834917931664023e-01 1.914180045533484531e-01 1.925645309803395655e+00 4.415008260872726353e+00 -4.936838863417412959e+00
1.165307775026089010e-01 -1.760472539718006546e-01 1.750420289120279971e-01 1.870931472640245952e-01 -1.795727601034973198e-01 4.639274613398853830e-01 9.486334466818602262e-02 8.039558471062218103e-01 -4.708954746615550135e-01 1.224472514554340030e+00 1.202254673983832234e+00 -1.333426377393310158e+00 7.283047183893520682e-01 2.147105122345883466e+00 -3.616776850456915327e-02 3.154759740250749900e-01 2.435583878411229364e+00 9.819073943011762395e-01 -4.186995163664954944e+00
1.216417226898980075e-01 -1.668741081799966497e-01 1.748675184066648125e-01 1.684354997743074955e-01 -1.143815075444709617e-01 5.671583324317057695e-01 9.038209883193057403e-02 -9.531302363509954745e-01 2.673435927218559272e-01 -7.656514950559412114e-01 1.528317071389874826e+00 -2.542353300774073066e+00 3.856488856996183046e-01 1.739563956109202891e+00 -1.034825182407563826e+00 -1.451694010922004452e-01 1.898281996997437382e+00 1.189533563446701692e+00 -2.372096178602625560e+00
1.286175120326488452e-01 -1.889573289243607901e-01 1.851109853627083413e-01 1.653895495430578455e-01 -1.371381451680031560e-01 5.943998039620561613e-01 8.130662264449550758e-02 1.994044677600026461e-01 -1.134565552475480743e+00 4.788580030388818187e-01 4.869579840095674683e-01 -1.850665975916143235e+00 -4.155676759324951064e-01 2.083266360214151902e+00 -1.166400004585279593e+00 3.551313313796082838e-01 2.020613409046159603e+00 -4.698201523270029156e-02 -2.320008511751161517e+00
1.217960726760462520e-01 -1.891134255381076712e-01 1.702499311558247908e-01 1.716494902157047475e-01 -8.650515123450741584e-02 6.274754245943525710e-01 8.326715875917725662e-02 -7.894516145900301041e-01 -1.184316208322099051e+00 1.002714641565890297e+00 -4.974029514309608047e-01 -8.531944026601916420e-01 -7.626309294500854818e-01 1.615400862099292567e+00 -2.792727713794569411e-01 -8.367906583905480034e-01 1.254061976611904328e+00 2.848923864656373262e+00 -2.176670706621840701e+00
1.062060988200095868e-01 -1.461115453116224039e-01 1.744524828186492238e-01 1.684557000477920896e-01 -8.730613769286332815e-02 6.264824358315634889e-01 9.682521763144412430e-02 2.303612052045789227e-02 -4.725927504635807352e-01 1.819691303868409271e+00 8.746044129119194821e-01 -1.292973541631827761e+00 1.034515544859409886e+00 1.614807955461322386e+00 7.224023019633829534e-01 -4.878644162301446485e-01 1.502848059898846067e+00 3.786818772990383053e+00 -4.416221166243341045e+00
1.383798140587023939e-01 -2.430423104633762099e-01 1.870852162866759594e-01 1.300068680553081446e-01 -1.208322560272920843e-01 5.242635179719377092e-01 8.386046062562596548e-02 1.570512254517537620e+00 -7.681374622502517013e-01 1.264033670329509640e+00 1.680337266729761581e+00 -1.463557081952892247e+00 1.181642518766584438e+00 2.036259079491493651e+00 3.107866382238810843e-01 -9.278624839097027177e-02 2.688857654074826797e+00 3.564434042766745137e+00 -4.331948787177567262e+00
1.234683102177689118e-01 -1.788101619583185586e-01 1.825526495381446512e-01 1.433812859187011401e-01 -7.394470322203128276e-02 5.556516402522606590e-01 7.992911347978035042e-02 -1.198613506567766329e+00 2.191440392239654145e-01 -3.536130958304095628e-02 6.588395340476527196e-01 -1.472486440747679648e+00 -2.055081274466434849e-01 2.076875648309295386e+00 -1.244493865933998578e+00 2.955035844531046507e-01 2.417419067374679820e+00 -3.455336925312444407e-01 -2.612316310988965107e+00
1.235404217324660436e-01 -1.757307990520766139e-01 1.804195229304365045e-01 1.600881350955690730e-01 -3.359058145002102869e-02 5.816856799763590047e-01 8.869053648419485125e-02 -7.260709578380275531e-01 -1.661983238732309687e+00 1.666738947604242682e+00 -3.593482244507120171e-01 -1.693670997230563913e+00 -4.589995667250317268e-01 2.271303020249085591e+00 -1.464202612172718077e+00 6.036938534297675574e-02 1.230961016509488637e+00 1.450485970295813942e+00 -2.193995765753994576e+00
1.328619878372042928e-01 -1.813513076734132867e-01 1.797592346375855021e-01 1.632147037199622730e-01 -1.222948279466995469e-01 5.683252059750074636e-01 8.882279331769803166e-02 -3.346415351865150711e-02 8.569635956969072765e-01 9.742921641954680467e-01 1.608651934149063933e+00 -5.930957052676335550e-01 5.402903175476119202e-01 2.761657011519755400e+00 3.196046539149222099e-01 2.491623821987900556e-01 2.379039535264006133e+00 3.561866865327500520e+00 -4.972126397882850490e+00
