# alpha_SZ_0 SZ_comp0_0 SZ_comp1_0 kappa_SPT alpha_opt_0 opt_comp0_0 opt_comp1_0 alpha_SZ_z alpha_SZ_lam SZ_comp0_z SZ_comp0_lam SZ_comp1_z SZ_comp1_lam alpha_opt_z alpha_opt_lam opt_comp0_z opt_comp0_lam opt_comp1_z opt_comp1_lam alpha_X_0 alpha_X_z alpha_X_lam X_comp0_0 X_comp0_z X_comp0_lam X_comp1_0 X_comp1_z X_comp1_lam
9.1176e-01 4.8752e-04 1.3987e-01 9.4982e-01 9.7084e-01 2.1981e-02 1.9334e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.0751e-01 7.0896e-03 1.4488e-01 1.3481e+00 9.0772e-01 1.7197e-03 6.3058e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.0026e-01 4.4226e-03 4.7670e-02 4.9808e-01 8.0165e-01 1.8289e-03 1.1230e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.9953e-01 1.6783e-03 9.9236e-02 8.1602e-01 9.7482e-01 1.6007e-02 1.6564e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.2353e-01 2.4721e-02 1.1129e-01 8.9175e-01 9.6543e-01 3.8422e-03 1.6126e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.7407e-01 5.4320e-03 2.7883e-02 3.3205e-01 7.5471e-01 6.4071e-03 1.2773e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.7449e-01 2.0299e-02 1.5828e-01 8.4176e-01 9.3606e-01 9.1990e-03 4.3423e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.8182e-01 3.5568e-03 2.0364e-01 4.6071e-01 6.9628e-01 6.1447e-04 1.0253e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.7649e-01 1.0431e-02 1.8448e-01 6.9409e-01 6.8516e-01 4.1779e-03 8.5294e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.7771e-01 2.7924e-03 1.3974e-01 7.3018e-01 9.4810e-01 2.4439e-02 3.6491e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.8115e-01 1.3980e-02 1.2677e-01 9.9607e-01 9.6270e-01 2.4592e-03 2.4657e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.0260e-01 1.0282e-02 1.2332e-01 3.2375e-01 8.6447e-01 3.7207e-03 7.5256e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.0967e-01 1.1754e-03 5.3962e-02 5.3923e-01 8.3396e-01 7.8621e-03 1.4378e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.3425e-01 1.9025e-02 1.3626e-01 5.5510e-01 8.3310e-01 9.4047e-03 4.2486e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.9272e-01 4.2126e-03 1.4779e-01 8.6582e-01 6.7613e-01 1.6325e-03 8.2493e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.5826e-01 1.2241e-02 2.2228e-01 1.0336e+00 8.1498e-01 3.2203e-03 1.2958e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.7504e-01 9.4409e-03 1.1931e-01 8.3519e-01 9.8852e-01 2.1668e-02 1.4161e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.1443e-01 7.4483e-03 1.2072e-01 4.4582e-01 8.4369e-01 8.4504e-04 1.8419e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.4904e-01 1.1517e-02 1.3535e-01 1.0729e+00 8.8330e-01 2.0916e-04 1.2829e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.9621e-01 4.8601e-03 1.2948e-01 1.3010e+00 9.9503e-01 2.0065e-03 3.8838e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.0945e-01 2.0464e-02 6.8183e-02 8.7748e-01 8.8570e-01 1.5385e-02 1.2971e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.5068e-01 7.7699e-03 4.2852e-02 9.2103e-01 8.9967e-01 5.5938e-04 1.2956e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.8357e-01 5.1225e-03 1.6293e-01 8.5712e-01 8.5771e-01 4.6885e-04 3.1227e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.5957e-01 2.2988e-02 1.3837e-01 7.5549e-01 8.4872e-01 7.7985e-03 1.7439e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
